,Date,Time,Location,Sub-location,Lat,Long
770,2021-05-07,0700h - 0740h,Pasir Ris Market Produce Shop (441 Pasir Ris Drive 6),,1.36922534298881,103.958173949924
771,2021-05-07,1700h - 1750h,Toa Payoh Hdb Hub (500 Lorong 6 Toa Payoh) ,Ntuc Fairprice,1.33296549735939,103.847050346651
772,2021-05-07,0700h - 1500h,M171 Gourmet Street Coffeeshop (171 Macpherson Road),,1.32683963232487,103.890007860464
773,2021-05-07,1800h - 1930h,473 Coffee Stop (473 Fernvale Street) ,Michin Korean Bbq And Hotpot,1.39779874741053,103.881698806174
774,2021-05-07,0725h - 0825h,Giant Hypermarket - Tampines (21 Tampines North Drive 2),,1.35214194752099,103.954010279015
775,2021-05-06,1710h - 1810h,Jem (50 Jurong Gateway Road) ,Don Don Donki,1.33332819303974,103.743359442234
776,2021-05-06,1200h - 1300h,Singapore Post (1 Pasir Ris Central Street 3),,1.37228761596577,103.949733905672
777,2021-05-06,2120h - 2155h,Changi Airport Terminal 1 (80 Airport Boulevard),Food Gallery,1.36129123176598,103.99060554697
778,2021-05-06,1415h - 1510h,Plaza Singapura (68 Orchard Road),Co Chung,1.30082071769235,103.845067272666
779,2021-05-06,1030h - 1230h,Chai Chee Market (1 Chai Chee Avenue),,1.32510368063361,103.924874310792
780,2021-05-06,1830h - 2330h,Plaza Singapura (68 Orchard Road) ,Starbucks,1.30082071769235,103.845067272666
781,2021-05-06,1835h - 1945h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,1.35437074082484,103.985169645053
782,2021-05-06,2200h - 2210h,Hao Mart (308C Punggol Walk),,1.40800694944027,103.899074357998
783,2021-05-06,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,1.39152651487694,103.89365715873
784,2021-05-06,0700h - 0730h,Soy Eu Tua Coffee Shop (15 Upper East Coast Road),,1.31294317376262,103.925775599679
785,2021-05-06,1510h - 1610h,Plaza Singapura (68 Orchard Road) ,Uniqlo,1.30082071769235,103.845067272666
786,2021-05-06,1915h - 2025h,Bedok Mall (311 New Upper Changi Road),,1.32475054237912,103.92918919889
787,2021-05-06,1930h - 2000h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Encik Tan,1.35437074082484,103.985169645053
788,2021-05-06,0700h - 0740h,Pasir Ris Market Produce Shop (441 Pasir Ris Drive 6),,1.36922534298881,103.958173949924
789,2021-05-06,1140h - 1530h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
790,2021-05-06,0700h - 1500h,M171 Gourmet Street Coffeeshop (171 Macpherson Road),,1.32683963232487,103.890007860464
791,2021-05-06,1645h - 1745h,Changi Airport Terminal 3 (65 Airport Boulevard),Heavenly Wang,1.35437074082484,103.985169645053
792,2021-05-06,1340h - 1405h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,1.35437074082484,103.985169645053
793,2021-05-06,1735h - 1820h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
794,2021-05-06,1930h - 2100h,Plq Mall (10 Paya Lebar Road) ,"Western Mahua, Starbucks",1.31885611019401,103.89406715568
795,2021-05-06,1420h - 1535h,Esr Bizpark @ Chai Chee (750 Chai Chee Road),Bai Nian Yong Tau Foo,1.32365172481192,103.922102955664
796,2021-05-06,1420h - 1545h,Ikea Alexandra (317 Alexandra Road),,1.28797431886603,103.805808771913
797,2021-05-06,1920h - 2020h,The Seletar Mall (33 Sengkang West Avenue) ,Swensen’S,1.39131549124709,103.876213231014
798,2021-05-06,1000h - 1040h,Rivervale Mall (11 Rivervale Crescent),Mcdonald’S,1.39250410994833,103.904483668323
799,2021-05-05,1515h - 1610h,Junction 9 (18 Yishun Avenue 9),Sheng Siong Supermarket,1.4331228398318,103.84166098599
800,2021-05-05,1850h - 1915h,Siglap New Market (934 East Coast Road) ,Ntuc Fairprice,1.31230757275549,103.925234546756
801,2021-05-05,1415h - 1450h,Bedok Interchange Hawker Centre (208B New Upper Changi Road),,1.32478236985627,103.930570304559
802,2021-05-05,1235h - 1305h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
803,2021-05-05,1750h - 1820h,Sheng Siong Supermarket (506 Tampines Central 1),,1.35595238706011,103.945937400867
804,2021-05-05,1830h - 1935h,Parkway Parade (80 Marine Parade) ,Ramen Dining Keisuke Tokyo,1.30248202632175,103.9077387936
805,2021-05-05,0010h - 0130h,China Northeast Cuisine (199 New Bridge Road),,1.28417074819871,103.843767432048
806,2021-05-05,1310h - 1405h,Giant Hypermarket – Tampines (21 Tampines North Drive 2),,1.37210169874539,103.931999887543
807,2021-05-05,0330h - 0410h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
808,2021-05-05,0700h - 1500h,M171 Gourmet Street Coffeeshop (171 Macpherson Road),,1.32683963232487,103.890007860464
809,2021-05-05,1840h - 1910h,Great World City (1 Kim Seng Promenade),,1.29317220444774,103.832095275633
810,2021-05-05,1220h - 1345h,Tampines 1 (10 Tampines Central) ,Isteaks,1.35420430432819,103.945051968029
811,2021-05-05,1945h - 2045h,O.Bba Jjajang (77 Tanjong Pagar Road),,1.27791980564072,103.843846012635
812,2021-05-05,1140h - 1245h,Ikea Tampines (60 Tampines North Drive 2),,1.37412166439983,103.932414737025
813,2021-05-05,1610h - 2045h,Thye Hwa Heng Canteen (29 Eunos Avenue 6),,1.32120207718872,103.895723150168
814,2021-05-05,1605h - 1645h,Tampines Mall (4 Tampines Central 5),Uniqlo,1.35250468330971,103.944682574769
815,2021-05-05,1735h - 2100h,Royal Albatross (8 Sentosa Gateway),,1.25498909397858,103.82028484165
816,2021-05-05,1600h - 1700h,Changi General Hospital (2 Simei Street 3) ,Kopitiam,1.34082588501333,103.949465476094
817,2021-05-05,0830h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,1.37228761596577,103.949733905672
818,2021-05-05,1830h - 2330h,Plaza Singapura (68 Orchard Road) ,Starbucks,1.30082071769235,103.845067272666
819,2021-05-05,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,1.39152651487694,103.89365715873
820,2021-05-05,2035h - 2110h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
821,2021-05-05,1505h - 1600h,Eastlink Mall (8 Tampines Central 1) ,Koufu,1.35435719591377,103.944305344915
822,2021-05-05,2015h - 2105h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
823,2021-05-05,1200h - 1315h,Sin Heng Kee Porridge (685 Hougang Street 61),,1.37518092664617,103.886022660348
824,2021-05-05,1415h - 1440h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
